table_name,row_count
attribute_values,62
cart_sessions,18
categories,0
custom_domains,0
customers,0
dns_records,3
domains,2
markets,2
order_items,0
orders,0
product_attributes,5
product_variants,14
products,14
profiles,0
public_orders,6
shipping_addresses,0
shipping_methods,4
site_templates,32
ssl_certificates,0
stores,0
testimonials,6
variant_attribute_values,30
